FFT_analysis (Idc=2e-06) X,FFT_analysis (Idc=2e-06) YRe,FFT_analysis (Idc=2e-06) YReImag
19500000,8.701149173219722e-09,2.594626166192973e-09
20000000,8.81716269261437e-08,4.547421548194348e-08
20500000,9.058214275817719e-09,2.471194692111847e-09
21000000,9.235389276765125e-09,2.397188125172061e-09
21500000,9.411148093081268e-09,2.314971250636529e-09
22000000,9.585093617310329e-09,2.224635484772002e-09
22500000,9.756842548752236e-09,2.126259088308354e-09
23000000,9.926021026581941e-09,2.019941048249836e-09
23500000,1.009221745418734e-08,1.905816114052571e-09
24000000,5.938023058049477e-08,5.888253465856779e-08
24500000,1.041441090430067e-08,1.654674048430213e-09
25000000,1.056971915000561e-08,1.518074135302006e-09
25500000,1.07206891069388e-08,1.374348371126416e-09
26000000,1.08670579216883e-08,1.223728897898573e-09
26500000,1.100853919075848e-08,1.066440375060407e-09
27000000,1.114486831263998e-08,9.027097644040434e-10
27500000,1.127577649142756e-08,7.328255939871167e-10
28000000,3.031735625860666e-08,-2.452283975259752e-08
28500000,1.152049863235403e-08,3.753983387865074e-10
29000000,1.163394143727592e-08,1.883876416098714e-10
29500000,1.174111067464765e-08,-3.802506182898695e-12
30000000,1.184187136202976e-08,-2.009335699598334e-10
30500000,1.193605322797915e-08,-4.027578063328332e-10
31000000,1.202349193706934e-08,-6.090415019287476e-10
31500000,1.210403837581398e-08,-8.195046191259565e-10
32000000,6.224206774305919e-07,2.13949564779737e-07
32500000,1.224364390121344e-08,-1.252147432935124e-09
33000000,1.230248862579085e-08,-1.473786124665352e-09
33500000,1.235378142981862e-08,-1.698564501640721e-09
34000000,1.239738039480191e-08,-1.926252177933764e-09
34500000,1.243312730902943e-08,-2.156539319658198e-09
35000000,1.246087926300904e-08,-2.3891051378541e-09
35500000,1.248056773731981e-08,-2.62360252082617e-09
36000000,-1.695533560482379e-07,1.777523675303419e-07
36500000,1.249511930019465e-08,-3.096994035802276e-09
37000000,1.248992317467595e-08,-3.335221454894567e-09
37500000,1.247640342742168e-08,-3.573921402640356e-09
