FFT_analysis (Idc=6.5e-06) X,FFT_analysis (Idc=6.5e-06) YRe,FFT_analysis (Idc=6.5e-06) YReImag
32000000,7.122489459316436e-07,-3.975059902905508e-08
32500000,8.692761295129282e-07,-6.111664476283538e-07
33000000,-6.366994872609571e-07,-3.288349350976926e-07
33500000,1.046586815195227e-07,-3.743010803317832e-07
34000000,5.25248583277592e-07,4.834827600183299e-08
34500000,-5.718272023822164e-07,8.083616957104315e-07
35000000,2.529984200389569e-07,4.741486316321343e-07
35500000,-1.180302629782783e-07,6.835336183656177e-08
36000000,-5.222244990959048e-08,1.227221444056683e-07
36500000,-3.464360324492086e-07,1.246649496068043e-07
37000000,1.951607606290455e-07,3.483763067596405e-07
37500000,-6.85274436670019e-08,1.708216544634289e-07
38000000,4.036763981709759e-08,1.614726963047177e-08
38500000,-6.710074092251713e-07,-2.900160202453472e-07
39000000,1.574408027977105e-07,1.232390191740787e-07
39500000,7.314746915200588e-08,2.886214683619591e-07
40000000,2.956631072322026e-07,3.678961782850915e-07
40500000,-1.043568768217457e-07,-2.873962314827029e-07
41000000,-6.340468160797167e-08,-1.551307081240559e-08
41500000,1.297396890660052e-07,1.167833414063722e-09
42000000,1.640061158676566e-07,3.157561797619806e-07
42500000,-4.155469792459222e-08,-4.82535380161437e-08
43000000,-2.272856676476542e-07,-3.972095219997859e-08
43500000,5.429847399231421e-08,-2.426403302327277e-07
44000000,8.699571076844356e-07,-3.68942157292588e-08
44500000,-2.467716163299913e-07,-6.705370339735921e-07
45000000,1.714902409696863e-07,-1.84348487466887e-07
45500000,1.38411288687482e-07,-2.858922347624897e-09
46000000,-3.587086796249023e-07,2.715844567802711e-07
46500000,9.706375077484122e-08,3.03993462615575e-07
47000000,-6.557704054837177e-08,7.403249603094574e-08
47500000,9.469810387609827e-08,-4.866281794263418e-08
48000000,-2.243812320640027e-07,6.04666071792407e-07
48500000,1.07092244741474e-07,2.495623663298122e-07
49000000,-2.941307144865138e-08,1.50837179114777e-07
49500000,1.085686078249752e-07,1.107593094201177e-07
50000000,-5.023291774068172e-07,-5.233238997791775e-07
50500000,-9.239359376691805e-08,8.875285611159125e-08
51000000,9.154191042785877e-08,1.712311890346698e-07
51500000,-1.481632547279977e-08,2.633736325669417e-07
52000000,1.156147500062347e-07,-2.00908896483167e-07
52500000,-1.048953059850925e-07,-8.645691473669118e-08
53000000,8.043913328229868e-08,7.543861247132316e-08
53500000,-4.792870992403559e-08,3.780720749280423e-07
54000000,6.421979216986278e-08,1.014336549442975e-07
54500000,-2.314191009890681e-07,-1.59153502789732e-07
55000000,1.541625578585479e-07,-3.177283109083544e-07
55500000,5.240657521267899e-07,3.700980392681326e-07
56000000,2.875753987275895e-07,-7.741953007458409e-07
56500000,9.749399445013015e-08,3.216005984676561e-09
57000000,1.094679170629387e-08,4.309557696464879e-08
57500000,-2.04017991960603e-07,9.667104519183497e-08
58000000,1.538394131525221e-07,1.268822034088418e-07
58500000,6.829062158277722e-09,1.949724808712788e-08
59000000,1.121474322753419e-08,4.186732309320316e-08
59500000,-2.215547741521089e-07,-4.516314347817351e-09
60000000,1.191956683647278e-08,8.880830749969087e-08
60500000,1.854786959580863e-08,1.539607802003366e-07
61000000,-2.362402455945452e-09,9.358963876948593e-08
61500000,-1.849028878875118e-07,-6.31955647276245e-07
62000000,-1.477739864599479e-07,1.126861708383158e-08
62500000,2.205019469067835e-08,1.091202309811645e-07
63000000,-8.021324974915736e-08,2.329507341877897e-07
63500000,1.241149765729595e-07,-1.725038127415664e-07
64000000,-3.144132451803153e-07,-8.285232429709227e-08
64500000,6.603797732732325e-08,2.418286309796422e-08
65000000,-1.762280532128517e-07,2.679853717863577e-07
65500000,7.112220170908821e-08,2.237817510558864e-07
66000000,-2.219856876796732e-07,-2.778351495586146e-07
66500000,1.471876818960098e-07,-2.092295074117883e-07
67000000,7.880739587042101e-08,3.422499198239822e-07
67500000,5.148887697294505e-07,-2.626503609191787e-07
68000000,3.115794903401611e-07,7.708422179406902e-07
68500000,2.159544129190931e-08,-2.827103593857963e-08
69000000,-1.660271847484632e-07,-4.469654753482872e-09
69500000,2.178983198028669e-07,1.014402234911102e-07
70000000,7.469869450251895e-09,3.544328415341956e-08
70500000,-1.4067435882959e-08,6.351977840009688e-08
71000000,-2.748426917662989e-07,-6.80343393200019e-08
71500000,6.20733453401681e-08,2.024367148769386e-07
72000000,1.955808583638093e-07,4.553760710480994e-08
72500000,-1.534131450761312e-07,1.01729109831652e-07
73000000,1.094430681739828e-07,-5.684741588274551e-07
73500000,-1.085335349013698e-07,-4.772978718128399e-08
74000000,2.568058455348225e-08,1.835821906602614e-08
74500000,-1.858447013434125e-08,1.659212420009406e-07
75000000,1.918028844432004e-07,-9.78205742450703e-08
75500000,-1.066408932729401e-07,-1.392807026216615e-07
76000000,1.088744967738969e-08,-3.693111422952625e-09
76500000,-1.418247161530345e-07,1.283416158778906e-07
77000000,3.564099601211472e-08,2.876678223062254e-07
77500000,-8.515607650473691e-08,-2.398201073953299e-07
78000000,8.30906157668424e-08,-1.288688084681009e-07
