FFT_analysis X,FFT_analysis YRe,FFT_analysis YReImag
1009500000,-9.668394570240115e-15,9.849085558266787e-15
1010000000,-9.380455651849982e-15,3.750135968049226e-15
1010500000,-1.097517023265595e-14,-3.686081907138373e-16
1011000000,-1.377812161074188e-14,1.291192154843109e-15
1011500000,-7.232649189856765e-16,-2.73512967004881e-14
1012000000,-1.389656202489e-07,-3.557536302305186e-08
1012500000,2.871792159250068e-14,2.997305162769263e-15
1013000000,-6.44961729829597e-16,1.529386676206265e-14
1013500000,1.858436387502769e-15,1.255924994797117e-14
1014000000,-2.2430465969597e-15,1.053077512714737e-14
1014500000,-5.792111209625738e-15,1.135561971329114e-14
1015000000,-4.819071461819935e-15,1.36455750047998e-14
1015500000,-2.665451198193528e-14,-1.298417400407075e-15
1016000000,-2.924867349059193e-07,1.106785566584819e-06
1016500000,1.350907131024809e-15,-2.038760963725623e-14
1017000000,7.12225808273057e-15,4.432399153217469e-15
1017500000,3.425037753477768e-15,2.411465220337038e-15
1018000000,1.070942715237528e-15,5.690619003195331e-15
1018500000,-4.461591521150983e-15,9.437687084391373e-15
1019000000,9.008040272765441e-16,1.35798324676413e-14
1019500000,-3.9000717909095e-14,1.141379978200389e-15
1020000000,1.344477299933516e-07,-1.472938903198601e-07
1020500000,-4.859610835011851e-15,-4.022968706758074e-14
1021000000,1.622659639095599e-14,-3.468539834784986e-15
1021500000,1.249882131940586e-14,-7.203740005485706e-15
1022000000,1.037581262791627e-14,-1.07573369745873e-15
1022500000,1.205555832652976e-14,3.385781040261045e-15
1023000000,1.432182356603201e-14,2.183246701378224e-15
1023500000,-2.024044668884042e-15,3.101424739145099e-14
1024000000,4.900103966756486e-08,-1.460917770155475e-09
1024500000,-2.940538350871141e-14,-3.329807005519337e-15
1025000000,2.137354150156456e-15,-1.324508399508835e-14
1025500000,-9.634747122889797e-16,-9.31176820791773e-15
1026000000,3.294855383866407e-15,-6.810876587701785e-15
1026500000,6.413106119739167e-15,-4.17365357372307e-15
1027000000,8.642885475553956e-15,-7.294136750205126e-15
1027500000,1.121434564608441e-14,1.741577717947746e-14
1028000000,1.684823671418074e-08,-7.420038558907865e-08
1028500000,-1.916374738885217e-14,9.21845027079341e-15
1029000000,-3.984565568607704e-15,-1.005878496435288e-14
1029500000,-3.550058236992287e-15,-7.512565454038603e-15
1030000000,3.788515257807287e-16,-7.768445383644817e-15
1030500000,6.726645458237292e-15,-9.534357648847971e-15
1031000000,3.352143336866047e-15,-1.439534966908823e-14
1031500000,3.797400456816599e-14,1.136171271763965e-14
1032000000,4.780142861939429e-07,-2.424508647046878e-07
1032500000,-1.028253763453365e-14,4.07244015823116e-14
1033000000,-1.81947044903165e-14,-2.321462706101128e-15
1033500000,-1.573092595792026e-14,2.517347202473607e-15
1034000000,-1.180729387139047e-14,-2.433590227447666e-15
1034500000,-1.24088177167793e-14,-7.295638301175052e-15
1035000000,-1.507072719641387e-14,-6.003184099737151e-15
1035500000,8.319801501557688e-15,-3.27848184067862e-14
1036000000,1.358070158898246e-08,1.090159407810165e-07
1036500000,3.044818077668723e-14,9.394863760998733e-15
1037000000,-4.776723006742775e-15,1.33384231277391e-14
1037500000,-7.159846520738287e-16,1.071287215845597e-14
1038000000,-4.421175790921852e-15,7.141299945541009e-15
1038500000,-7.206560848077209e-15,5.648768891781148e-15
1039000000,-8.393509830631027e-15,8.009407331899717e-15
1039500000,-1.575904301133489e-14,-1.280198441306829e-14
1040000000,-2.501891661892685e-08,6.645711462386759e-08
1040500000,1.244315046078589e-14,-1.257653501958961e-14
1041000000,3.679037743014957e-15,7.093859701437833e-15
1041500000,2.780917037901871e-15,4.360157850167753e-15
1042000000,-5.226141427172526e-16,5.241413785281975e-15
1042500000,-5.346646928877227e-15,5.968232274256022e-15
1043000000,-3.512440679553798e-15,1.027068482268291e-14
1043500000,-2.613586371058773e-14,-1.148052628564389e-14
1044000000,2.280673730129552e-08,2.837117149518546e-08
1044500000,1.189399271522873e-14,-2.749917827491607e-14
1045000000,1.36714844227065e-14,4.221823779424556e-15
1045500000,1.248144826115043e-14,1.985844819461816e-15
1046000000,9.082246496372386e-15,5.219873738693156e-15
1046500000,9.526475819538583e-15,1.14006575141425e-14
1047000000,1.380762051667226e-14,9.390158193255615e-15
1047500000,-1.854163764126655e-14,3.80589990573099e-14
1048000000,2.379162789170895e-07,3.046521854929935e-07
1048500000,-3.80381279745083e-14,-1.578387049745783e-14
1049000000,5.146494395404988e-15,-1.517309926103324e-14
1049500000,-3.920903803396403e-16,-1.247808202626564e-14
1050000000,3.702818175421313e-15,-7.632388737064248e-15
1050500000,6.556611013185317e-15,-4.460401336039291e-15
1051000000,9.311319162138172e-15,-7.10437998153886e-15
1051500000,9.041097636583533e-15,2.000482624552736e-14
1052000000,-1.070353590243519e-07,-1.881376733212304e-07
1052500000,-2.34707841496676e-14,7.914639513014205e-15
1053000000,-4.504319828049013e-15,-1.1282989565854e-14
1053500000,-5.365548786933164e-15,-8.225651377706308e-15
1054000000,-1.058090928607301e-15,-7.761353091582681e-15
1054500000,3.14455764836085e-15,-8.255307377540786e-15
1055000000,2.604678850464327e-15,-1.188778062716306e-14
1055500000,2.219959780806257e-14,9.506859062365336e-15
1056000000,-8.630577452872346e-08,-2.610898060135184e-08
1056500000,-1.326444642514466e-14,2.194505158776502e-14
1057000000,-1.30104726717774e-14,-7.335314760170046e-15
1057500000,-1.0963879040444e-14,-4.57307831421199e-15
1058000000,-7.913401623883978e-15,-7.76161809844244e-15
1058500000,-5.584023654462163e-15,-1.311087752723455e-14
1059000000,-1.074356332786345e-14,-1.41344301770814e-14
1059500000,2.883959533450463e-14,-2.575186830246859e-14
1060000000,-5.805388188863845e-09,-2.531373712541457e-08
1060500000,2.425806783586187e-14,2.913431858037769e-14
1061000000,-1.287473175900564e-14,1.087048613365728e-14
1061500000,-8.522317638583044e-15,1.100308532725363e-14
1062000000,-9.859337540913704e-15,5.295401633780742e-15
1062500000,-1.430896651201306e-14,1.974546214368868e-15
1063000000,-1.549391795186013e-14,5.802340123487266e-15
1063500000,-1.925286468377199e-14,-3.156886148893948e-14
1064000000,-2.490150155797591e-07,-2.357783504930447e-08
1064500000,2.742382841575308e-14,-1.960129578724406e-14
1065000000,5.09401415010934e-15,9.741250946150387e-15
1065500000,6.52231929892636e-15,4.155677207623952e-15
1066000000,6.863564481063535e-16,4.147619441011148e-15
1066500000,-3.071370139171512e-15,2.846723250958046e-15
1067000000,-4.470006821394167e-15,6.527585166530673e-15
1067500000,-1.342925550377626e-14,-1.630029946021359e-14
1068000000,3.696851105752458e-07,3.029517839271162e-07
1068500000,1.877108315646945e-14,-1.555748937572967e-14
1069000000,9.242289724502766e-15,7.940479313021272e-15
1069500000,8.561810537526599e-15,5.572012190589859e-15
1070000000,5.174918902247839e-15,7.055591699175871e-15
1070500000,2.058229854090325e-15,1.144006853383958e-14
1071000000,6.507956100199699e-15,1.289894439354662e-14
1071500000,-3.157317430638347e-14,1.609619608074066e-14
1072000000,6.459683737027162e-08,-7.721288858460111e-08
1072500000,-1.709676475555599e-14,-3.303597750273665e-14
1073000000,1.302819421998928e-14,-9.816802355941493e-15
1073500000,9.059306928299855e-15,-1.07906825711201e-14
1074000000,9.398843015131138e-15,-5.596730928966253e-15
1074500000,1.278269101625544e-14,-1.542603277816284e-15
1075000000,1.495525739595535e-14,-5.462937550400777e-15
1075500000,1.071148849313867e-14,3.057000857245044e-14
1076000000,4.726048890847607e-08,-9.367330743234075e-09
1076500000,-3.135300365229422e-14,9.182625552031655e-15
1077000000,-3.740884211174188e-15,-1.421411588901607e-14
1077500000,-6.427055492298416e-15,-1.050581825617879e-14
1078000000,-9.301151791453693e-16,-9.515187044370874e-15
1078500000,2.154663807451186e-15,-1.046783778235303e-14
1079000000,1.984307341316012e-15,-1.219796969079469e-14
1079500000,2.000316872018855e-14,-1.125573828676854e-16
1080000000,-6.84375813234551e-09,-1.385158101919423e-07
1080500000,-3.498105623524354e-15,1.352079248807868e-14
1081000000,-7.748249941521525e-15,-7.629243883581923e-15
1081500000,-3.532866261962461e-15,-6.938696958498429e-15
1082000000,-1.927542372973625e-15,-1.02662108663636e-14
1082500000,4.31340026368379e-15,-1.724474337029562e-14
1083000000,-4.514579915231377e-15,-2.111442562106793e-14
1083500000,5.764749028439732e-14,-1.759289248209021e-14
1084000000,-1.117364819675655e-06,2.416618418116633e-06
1084500000,2.387069411645656e-14,5.626209334724989e-14
1085000000,-1.991754499631146e-14,1.21050451853483e-14
1085500000,-1.328224031059203e-14,1.545939573570117e-14
1086000000,-1.232158666005608e-14,6.431768688102574e-15
1086500000,-1.528561539868917e-14,8.534063086764828e-16
1087000000,-1.849194636166935e-14,3.474671772405219e-15
1087500000,-5.55810223190499e-15,-3.731106252596529e-14
1088000000,6.826292139594752e-08,6.079451194719153e-08
1088500000,3.846415382140775e-14,-3.117088014838346e-15
1089000000,1.321195929087975e-15,1.716913729782038e-14
1089500000,4.905807303378792e-15,1.302804376771517e-14
1090000000,-7.042075774483201e-16,1.057546371707927e-14
1090500000,-4.989293265081399e-15,1.097417647191465e-14
1091000000,-4.187798047039797e-15,1.301958373320977e-14
1091500000,-2.573828675610233e-14,-5.338277578603385e-15
1092000000,-2.417772684956349e-08,7.125969759653532e-08
1092500000,6.539821710029491e-15,-2.239309113734412e-14
1093000000,9.6612563735533e-15,5.587224893423713e-15
1093500000,7.006835344575614e-15,1.931370574842285e-15
1094000000,4.045364391938813e-15,5.156529585889839e-15
1094500000,1.544597928741995e-15,7.797975311581413e-15
1095000000,4.197391265593307e-15,9.949879150775773e-15
1095500000,-2.134015635039276e-14,1.036421035962898e-14
1096000000,7.984484645961644e-08,4.021272398703695e-08
1096500000,-1.017053738465678e-14,-2.181200257091298e-14
1097000000,8.995724370302463e-15,-5.219924193541571e-15
1097500000,6.55707850607034e-15,-5.695271559889378e-15
1098000000,6.306900127025732e-15,-2.243351533158826e-15
1098500000,7.876434785816071e-15,1.152365241206565e-15
1099000000,1.003563022410291e-14,-9.782907948836862e-16
1099500000,1.949439427490514e-15,2.153112203825451e-14
1100000000,3.188530816416143e-06,-1.797187192469255e-06
1100500000,-2.005249240188819e-14,8.030920274386734e-17
1101000000,2.778711566451669e-16,-9.101181080279393e-15
1101500000,-1.199360441480732e-15,-7.308837508023249e-15
1102000000,1.818894555080454e-15,-5.740769685317438e-15
1102500000,6.080182592430862e-15,-5.947130339298713e-15
1103000000,4.717574743986761e-15,-8.872652585713546e-15
1103500000,2.23731323764687e-14,1.187201184640533e-14
1104000000,-4.102349194688764e-09,-3.757591527056218e-08
1104500000,-1.140288340716927e-14,2.24534497712392e-14
1105000000,-1.014987549170105e-14,-5.347589139173169e-15
1105500000,-8.309055313744165e-15,-1.557420976372456e-15
1106000000,-5.072623924538607e-15,-4.527854705074743e-15
1106500000,-2.37416918603704e-15,-6.652639085062011e-15
1107000000,-4.302797218168001e-15,-9.528015201108046e-15
1107500000,1.856532214487086e-14,-5.834146517946035e-15
1108000000,-9.161749344133903e-08,-1.884063564931984e-08
1108500000,2.864875172327317e-15,2.052432345763085e-14
1109000000,-1.138691403469725e-14,2.054425858506825e-15
1109500000,-9.073388183270165e-15,1.748880695152201e-15
1110000000,-8.54581349611135e-15,-1.675949238614854e-15
1110500000,-9.021170538263562e-15,-7.520637536928824e-15
1111000000,-1.425468482655515e-14,-5.613296205273504e-15
1111500000,1.382119443845584e-14,-3.165285540600539e-14
1112000000,-1.96241452376925e-08,-2.8829921907611e-08
1112500000,3.068434215035159e-14,1.443331920556061e-14
1113000000,-7.502701542425972e-15,1.37014057216401e-14
1113500000,-4.126339474709809e-15,1.150364008591047e-14
1114000000,-8.000108588287486e-15,7.126045524146932e-15
1114500000,-1.536845170851329e-14,3.645798294164428e-15
1115000000,-1.602706039704366e-14,1.035123147001557e-14
1115500000,-2.906578047109226e-14,-4.234749757287941e-14
1116000000,-1.721556757261051e-06,-5.134185775199976e-07
1116500000,4.119100173501143e-14,-3.28830103982678e-14
1117000000,1.508260996730103e-14,1.489695897191384e-14
1117500000,1.651476022382891e-14,7.177463070662749e-15
1118000000,8.644036258548943e-15,8.62664005602241e-15
1118500000,6.048198737004091e-15,1.044630179903037e-14
1119000000,6.200071009889585e-15,1.229627343602135e-14
1119500000,-1.700659606924404e-14,1.092073231140259e-14
1120000000,8.364096746654088e-08,1.845421551876771e-08
1120500000,-4.809112865790671e-15,-1.756503394376792e-14
1121000000,1.086072937815202e-14,-1.166763641521562e-15
1121500000,7.708393608642108e-15,-8.698515309657376e-16
1122000000,7.467552893365032e-15,2.324453653724058e-15
1122500000,6.910284044802143e-15,7.283995890376236e-15
1123000000,1.17033115671031e-14,6.018407254355825e-15
1123500000,-1.438783440054593e-14,2.4857896526471e-14
1124000000,2.600054246400153e-08,-5.855172778395394e-08
1124500000,-2.433355160852678e-14,-1.527465245090472e-14
1125000000,7.523927190650571e-15,-1.115462989905153e-14
1125500000,4.349749760597161e-15,-1.042366268701158e-14
1126000000,7.062641732632865e-15,-6.553762599648386e-15
1126500000,1.276385604331871e-14,-4.541197971857812e-15
1127000000,1.268444917255173e-14,-9.635281989267522e-15
1127500000,2.650021543712209e-14,3.020807208069666e-14
1128000000,8.849210950246626e-08,-1.416642781696458e-08
1128500000,-2.963037942410812e-14,2.693476188937988e-14
1129000000,-1.238596646039736e-14,-1.217536411748503e-14
1129500000,-1.275757311714217e-14,-7.265286975525242e-15
1130000000,-6.967610537198634e-15,-9.233032899205296e-15
1130500000,-4.750848568075676e-15,-1.413960760199634e-14
1131000000,-8.208211342925354e-15,-1.449896121962828e-14
1131500000,2.890038457596244e-14,-2.54572848257672e-14
1132000000,-1.907266886015118e-07,-7.237584148799296e-07
1132500000,2.48993809604499e-14,2.500152538261705e-14
1133000000,-9.44466099437405e-15,8.306439443880536e-15
1133500000,-3.027785318040311e-15,7.611675713837699e-15
1134000000,-4.402201194744421e-15,1.847849851204674e-15
1134500000,-2.756453057696714e-15,-3.349238485747162e-15
1135000000,-8.717949571080594e-15,-4.29307532643519e-15
1135500000,2.120854594142913e-14,-1.683136160644433e-14
1136000000,-7.401726461740217e-08,2.654546283205497e-07
1136500000,2.181139549203274e-14,2.432610149267035e-14
1137000000,-9.040274280888585e-15,1.255968942406168e-14
1137500000,-5.80945478883818e-15,1.250851097119745e-14
1138000000,-7.59620432507535e-15,7.792131881311783e-15
1138500000,-1.264506663477265e-14,4.560305420795095e-15
1139000000,-1.373583102541699e-14,8.714016561472629e-15
1139500000,-1.758062960871495e-14,-3.144646197655537e-14
1140000000,4.500199162038612e-08,2.642496642692198e-08
1140500000,3.347303801211604e-14,-1.585246158422994e-14
1141000000,8.775356518305867e-15,1.632308124843952e-14
1141500000,9.759212069735653e-15,1.115385446967888e-14
1142000000,3.988887996341263e-15,1.166569877035787e-14
1142500000,-8.448145119430667e-17,1.427690899085799e-14
1143000000,2.456420522717218e-15,1.692129716522771e-14
1143500000,-3.111573180506157e-14,9.474988646572963e-15
1144000000,-4.179748283197076e-09,8.38449232438596e-08
1144500000,-6.573812031983408e-15,-2.894885941747356e-14
1145000000,1.29610647346256e-14,-8.587118587528255e-16
1145500000,9.005480184022265e-15,-3.018720118006639e-15
1146000000,7.705429958698132e-15,1.735820034399242e-15
1146500000,7.408653716344267e-15,5.541121651714136e-15
1147000000,1.034410512744673e-14,5.336020602309212e-15
1147500000,-7.92264910181643e-15,2.088412093279223e-14
1148000000,1.643181944758257e-07,9.058856218030043e-08
1148500000,-1.744154794993421e-14,-7.560409311043428e-15
1149000000,6.160021401716263e-15,-5.89802602172425e-15
1149500000,3.492479664019505e-15,-3.909644693300914e-15
1150000000,5.942148566272476e-15,-8.967548355527871e-16
